Altium Designer Pick and Place Locations
C:\Users\Admin\Desktop\tool\hhh\Project Outputs for NCKH-2026\Pick Place for MainPCB.csv

========================================================================================================================
File Design Information:

Date:       30/04/26
Time:       14:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R5","10K","TopLayer","TRO_0603","36.7000","45.4250","180","Dán"
"Q4","AO3400","TopLayer","AO3400","50.7750","21.0500","90","N-Channel 30 V 5.8A (Ta) 1.4W (Ta) SOT-23-3"
"M1","Module SimA7680C","TopLayer","Module_SimA7680C","31.7000","15.3750","0",""
"F1","CH340C","TopLayer","SOIC-16_50","44.5610","37.7750","270","SMD"
"*8","nguon","BottomLayer","Header_1.25mm_2P_smd","60.0000","9.6250","270",""
"*5","nguon","BottomLayer","Header_1.25mm_2P_smd","60.0000","21.2250","270",""
"*4","nguon","TopLayer","Header_1.25mm_2P_smd","30.7250","3.8000","0",""
"F2","Cau chi 1206","TopLayer","Cau_chi_1206","14.1520","7.9873","90",""
"*6","nguon","TopLayer","Header_1.25mm_2P_smd","11.9750","3.7750","0",""
"D2","TESDU5V0_RGG","TopLayer","DIO_TESDU5V0_RGG","54.0750","36.4250","0","0603, 5V, 75W, 15pF, ESD Protection Diode & Array"
"D1","TESDU5V0_RGG","TopLayer","DIO_TESDU5V0_RGG","55.3500","40.0250","270","0603, 5V, 75W, 15pF, ESD Protection Diode & Array"
"S5","Nut nhan 2P SMD","TopLayer","Button_2P_SMD","9.5625","53.4125","90","Push Button Tactile Switch SMD 2 Pins 3x4x2mm."
"S4","Nut nhan 2P SMD","TopLayer","Button_2P_SMD","36.9500","53.4750","90","Push Button Tactile Switch SMD 2 Pins 3x4x2mm."
"C19","22pF","BottomLayer","tu_0603","13.2500","25.8250","90","Dán"
"R38","47K","TopLayer","TRO_0603","23.0260","31.4140","180","Dán"
"R37","47K","TopLayer","TRO_0603","19.2040","33.0140","0","Dán"
"MK1","ICS-43434","TopLayer","MIC_SMD","19.4010","30.5020","270",""
"C29","1uF","TopLayer","tu_0603","23.0006","29.6020","0","Dán"
"C28","100nF","TopLayer","tu_0603","23.0006","28.2270","0","Dán"
"C30","0.1uF","TopLayer","TU_0805","19.7560","7.9462","0","Tu 0805"
"*7","220uF","TopLayer","Tu_tantalum_7443","16.2938","16.7278","270",""
"C15","22uF","BottomLayer","TU_0805","15.0163","13.1190","270","Tu 0805"
"C7","10uF","BottomLayer","TU_0805","12.9212","9.2060","90","Tu 0805"
"C16","22uF","BottomLayer","TU_0805","12.9288","13.1190","270","Tu 0805"
"C10","10uF","BottomLayer","TU_0805","2.5690","15.7212","180","Tu 0805"
"C14","22uF","BottomLayer","TU_0805","17.1038","13.1190","270","Tu 0805"
"C9","10uF","BottomLayer","TU_0805","2.5690","17.7712","180","Tu 0805"
"C8","10uF","BottomLayer","TU_0805","14.9962","9.2060","90","Tu 0805"
"*1","1uH","BottomLayer","Cuon_Cam_0630","10.4260","19.0760","180",""
"*3","2.2uH","BottomLayer","Cuon_Cam_0630","4.9490","27.0010","270",""
"LED5","LED 0603","BottomLayer","led_0603","7.9290","4.6970","90","Dán, LED 0603"
"LED4","LED 0603","BottomLayer","led_0603","6.4688","4.7224","270","Dán, LED 0603"
"Micro1","Micro SDCard TF3","BottomLayer","Micro_SDCard_TF3","31.6046","11.0808","0",""
"C12","10uF","TopLayer","tu_0603","51.0500","35.6751","90","Dán"
"Via1","Via_2.2mm","TopLayer","Via_2.2mm","60.7300","3.0000","0",""
"U1","ESP32-S3-WROOM-1U-N8R8","TopLayer","ESP32-S3-WROOM-1U","25.2000","46.8900","0","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included, U.FL Surface Mount"
"VR1","10K","TopLayer","VR_-_SMD","36.6500","16.1750","180","Var Resistor RM065"
"U3","PAM8302AADCR","TopLayer","PAM8302","30.9528","12.1999","180","Amplifier IC 1-Channel (Mono) Class D 8-SOP"
"R32","100R","TopLayer","TRO_0603","31.6000","14.7749","0","Dán"
"R31","0R","TopLayer","TRO_0603","32.3777","9.4250","0","Dán"
"R29","0R","TopLayer","TRO_0603","28.8254","9.4250","180","Dán"
"R28","100R","TopLayer","TRO_0603","35.1250","11.7750","90","Dán"
"R25","10k","TopLayer","TRO_0603","26.4001","14.1750","180","Dán"
"C27","220pF","TopLayer","tu_0603","32.4032","7.9500","180","Dán"
"C26","220pF","TopLayer","tu_0603","28.8000","7.9500","0","Dán"
"C24","1uF","TopLayer","tu_0603","31.6255","16.2250","180","Dán"
"C21","1uF","TopLayer","tu_0603","36.6751","11.8000","270","Dán"
"C13","0.1uF","TopLayer","tu_0603","51.0500","39.8746","90","Dán"
"Via4","Via_2.2mm","TopLayer","Via_2.2mm","3.0000","54.2700","0",""
"Via3","Via_2.2mm","TopLayer","Via_2.2mm","60.7300","54.2700","0",""
"Via2","Via_2.2mm","TopLayer","Via_2.2mm","3.0000","3.0000","0",""
"U2","IP5306","BottomLayer","IP5306","8.5860","10.9055","90","Fully-Integrated Power Bank System-On-Chip with 2.1A charger, 2.4A discharger"
"S3","nut nhan 4","TopLayer","Button_4P_SMD","4.7000","28.8625","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"S2","nut nhan 4","TopLayer","Button_4P_SMD","4.7000","43.0500","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"S1","nut nhan 4","TopLayer","Button_4P_SMD","4.7000","14.6750","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"R36","10k","TopLayer","tro_smd_0805","50.7706","17.9108","180","Dán"
"R34","1k","TopLayer","TRO_0603","48.0000","20.5750","270","Dán"
"R35","10k","TopLayer","tro_smd_0805","50.7705","5.7858","180","Dán"
"R30","22.1k","BottomLayer","TRO_0603","14.9001","27.3250","270","Dán"
"R33","1k","TopLayer","TRO_0603","48.0000","8.5750","270","Dán"
"R27","220R","BottomLayer","TRO_0603","9.4251","35.3500","0","Dán"
"R26","100k","BottomLayer","TRO_0603","11.7750","25.8504","270","Dán"
"R19","0R","TopLayer","TRO_0603","42.3000","48.5750","90","Dán"
"R18","0R","TopLayer","TRO_0603","43.8000","48.5750","90","Dán"
"R11","0.5R","BottomLayer","TRO_0603","5.1250","16.5000","90","Dán"
"R17","100R","TopLayer","TRO_0603","46.0250","54.3500","0","Dán"
"R16","100R","TopLayer","TRO_0603","49.1000","52.9750","0","Dán"
"R10","10K","BottomLayer","TRO_0603","5.0000","13.0250","90","Dán"
"R9","2R","BottomLayer","TRO_0603","13.6500","6.6249","180","Dán"
"R15","10k","TopLayer","TRO_0603","45.9500","32.6059","180","Dán"
"R14","10k","TopLayer","TRO_0603","13.2000","52.7000","180","Dán"
"R13","10k","TopLayer","TRO_0603","39.4750","51.8000","270","Dán"
"R12","10k","TopLayer","TRO_0603","45.9246","30.7000","0","Dán"
"R24","10K","BottomLayer","TRO_0603","36.5500","20.5746","90","Dán"
"R23","10K","BottomLayer","TRO_0603","33.3500","20.5746","90","Dán"
"R22","10K","BottomLayer","TRO_0603","31.1000","20.5746","90","Dán"
"R21","10K","BottomLayer","TRO_0603","29.4000","20.5746","90","Dán"
"R20","10K","BottomLayer","TRO_0603","38.1500","20.5746","90","Dán"
"R4","220R","TopLayer","TRO_0603","36.0250","47.6250","270","Dán"
"R8","5.1k","TopLayer","TRO_0603","54.2000","34.9999","0","Dán"
"R7","5.1k","TopLayer","TRO_0603","53.8500","39.9000","270","Dán"
"R6","1.5k","TopLayer","TRO_0603","52.4500","39.9000","270","Dán"
"R3","10k","TopLayer","TRO_0603","9.0000","25.6250","270","Dán"
"R2","10k","TopLayer","TRO_0603","9.0000","39.8250","270","Dán"
"R1","10k","TopLayer","TRO_0603","9.0000","11.4250","270","Dán"
"Q3","AO3400","TopLayer","AO3400","50.7750","9.0750","90","N-Channel 30 V 5.8A (Ta) 1.4W (Ta) SOT-23-3"
"Q2","C1815","TopLayer","SOT-23","49.5250","31.6522","270","SOT-23"
"Q1","C1815","TopLayer","SOT-23","42.3751","31.6479","90","SOT-23"
"MPS1","Pressure Sensor","TopLayer","MPS20N004D-S","54.6230","49.3345","270","Designed By @Alixahedi"
"LED6","LED","BottomLayer","led_0603","12.6000","34.0000","180","Dán, LED 0603"
"LED3","LED 0603","BottomLayer","led_0603","9.3891","4.6970","90","Dán, LED 0603"
"LED2","LED 0603","BottomLayer","led_0603","10.8493","4.7224","270","Dán, LED 0603"
"L1","LED 0603","TopLayer","led_0603","37.4312","47.6250","270","Dán, LED 0603"
"J1","217179-0001","TopLayer","USB-TypeC","59.3875","37.2000","90","USB2.0 TYPE-C 16P SMD"
"HX1","HX710B","TopLayer","HX710B","47.4270","48.5200","270","HX710B, SOIC-8"
"Header3","OLED","BottomLayer","HEADER_4P_2.0_SMD","5.2845","42.1770","270","Header PH-4P 2.0 SMD"
"Header2","VanKhi","TopLayer","Header_2P_2.0_SMD","58.8730","21.2770","270","Header PH-2p 2.0 SMD"
"Header1","BomKhi","TopLayer","Header_2P_2.0_SMD","58.8730","9.3020","270","Header PH-2p 2.0 SMD"
"D4","SS34","TopLayer","DIODE_SMA","50.5500","25.2750","0","Dán"
"D3","SS34","TopLayer","DIODE_SMA","50.5500","13.0750","0","Dán"
"C20","10uF","TopLayer","tu_0603","26.4000","11.8250","0","Dán"
"C23","22uF","BottomLayer","tu_0603","9.4250","34.0000","0","Dán"
"C22","22uF","BottomLayer","tu_0603","9.4250","32.6500","0","Dán"
"C18","22uF","BottomLayer","tu_0603","12.6000","32.6500","180","Dán"
"C17","10uF","TopLayer","tu_0603","46.0504","52.9750","180","Dán"
"C11","10uF","TopLayer","tu_0603","48.6250","42.8499","180","Dán"
"C25","0.1uF","BottomLayer","tu_0603","34.9500","20.6000","270","Dán"
"C6","0.1uF","TopLayer","tu_0603","9.0000","32.7000","90","Dán"
"C5","0.1uF","TopLayer","tu_0603","9.0000","46.3000","270","Dán"
"C4","0.1uF","TopLayer","tu_0603","9.0000","18.2000","270","Dán"
"C2","10uF","TopLayer","tu_0603","13.9500","54.9750","270","Dán"
"C1","0.1uF","TopLayer","tu_0603","12.4500","54.9750","270","Dán"
"C3","0.1uF","TopLayer","tu_0603","54.2000","33.6250","0","Dán"
"*2","SY8089","BottomLayer","Sy8089","12.0790","29.1520","0",""
