Altium Designer Pick and Place Locations
C:\Users\Admin\Desktop\tool\hhh\Project Outputs for NCKH-2026\Pick Place for MainPCB.csv

========================================================================================================================
File Design Information:

Date:       30/04/26
Time:       15:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R5","10K","TopLayer","TRO_0603","-27.3000","45.4250","180","Dán"
"Q4","AO3400","TopLayer","AO3400","-13.2250","21.0500","90","N-Channel 30 V 5.8A (Ta) 1.4W (Ta) SOT-23-3"
"M1","Module SimA7680C","TopLayer","Module_SimA7680C","-32.3000","15.3750","0",""
"F1","CH340C","TopLayer","SOIC-16_50","-19.4390","37.7750","270","SMD"
"*8","nguon","BottomLayer","Header_1.25mm_2P_smd","-4.0000","9.6250","270",""
"*5","nguon","BottomLayer","Header_1.25mm_2P_smd","-4.0000","21.2250","270",""
"*4","nguon","TopLayer","Header_1.25mm_2P_smd","-33.2750","3.8000","0",""
"F2","Cau chi 1206","TopLayer","Cau_chi_1206","-49.8480","7.9873","90",""
"*6","nguon","TopLayer","Header_1.25mm_2P_smd","-52.0250","3.7750","0",""
"D2","TESDU5V0_RGG","TopLayer","DIO_TESDU5V0_RGG","-9.9250","36.4250","0","0603, 5V, 75W, 15pF, ESD Protection Diode & Array"
"D1","TESDU5V0_RGG","TopLayer","DIO_TESDU5V0_RGG","-8.6500","40.0250","270","0603, 5V, 75W, 15pF, ESD Protection Diode & Array"
"S5","Nut nhan 2P SMD","TopLayer","Button_2P_SMD","-54.4375","53.4125","90","Push Button Tactile Switch SMD 2 Pins 3x4x2mm."
"S4","Nut nhan 2P SMD","TopLayer","Button_2P_SMD","-27.0500","53.4750","90","Push Button Tactile Switch SMD 2 Pins 3x4x2mm."
"C19","22pF","BottomLayer","tu_0603","-50.7500","25.8250","90","Dán"
"R38","47K","TopLayer","TRO_0603","-40.9740","31.4140","180","Dán"
"R37","47K","TopLayer","TRO_0603","-44.7960","33.0140","0","Dán"
"MK1","ICS-43434","TopLayer","MIC_SMD","-44.5990","30.5020","270",""
"C29","1uF","TopLayer","tu_0603","-40.9994","29.6020","0","Dán"
"C28","100nF","TopLayer","tu_0603","-40.9994","28.2270","0","Dán"
"C30","0.1uF","TopLayer","TU_0805","-44.2440","7.9462","0","Tu 0805"
"*7","220uF","TopLayer","Tu_tantalum_7443","-47.7062","16.7278","270",""
"C15","22uF","BottomLayer","TU_0805","-48.9837","13.1190","270","Tu 0805"
"C7","10uF","BottomLayer","TU_0805","-51.0788","9.2060","90","Tu 0805"
"C16","22uF","BottomLayer","TU_0805","-51.0712","13.1190","270","Tu 0805"
"C10","10uF","BottomLayer","TU_0805","-61.4310","15.7212","180","Tu 0805"
"C14","22uF","BottomLayer","TU_0805","-46.8962","13.1190","270","Tu 0805"
"C9","10uF","BottomLayer","TU_0805","-61.4310","17.7712","180","Tu 0805"
"C8","10uF","BottomLayer","TU_0805","-49.0038","9.2060","90","Tu 0805"
"*1","1uH","BottomLayer","Cuon_Cam_0630","-53.5740","19.0760","180",""
"*3","2.2uH","BottomLayer","Cuon_Cam_0630","-59.0510","27.0010","270",""
"LED5","LED 0603","BottomLayer","led_0603","-56.0710","4.6970","90","Dán, LED 0603"
"LED4","LED 0603","BottomLayer","led_0603","-57.5312","4.7224","270","Dán, LED 0603"
"Micro1","Micro SDCard TF3","BottomLayer","Micro_SDCard_TF3","-32.3954","11.0808","0",""
"C12","10uF","TopLayer","tu_0603","-12.9500","35.6751","90","Dán"
"Via1","Via_2.2mm","TopLayer","Via_2.2mm","-3.2700","3.0000","0",""
"U1","ESP32-S3-WROOM-1U-N8R8","TopLayer","ESP32-S3-WROOM-1U","-38.8000","46.8900","0","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included, U.FL Surface Mount"
"VR1","10K","TopLayer","VR_-_SMD","-27.3500","16.1750","180","Var Resistor RM065"
"U3","PAM8302AADCR","TopLayer","PAM8302","-33.0472","12.1999","180","Amplifier IC 1-Channel (Mono) Class D 8-SOP"
"R32","100R","TopLayer","TRO_0603","-32.4000","14.7749","0","Dán"
"R31","0R","TopLayer","TRO_0603","-31.6223","9.4250","0","Dán"
"R29","0R","TopLayer","TRO_0603","-35.1746","9.4250","180","Dán"
"R28","100R","TopLayer","TRO_0603","-28.8750","11.7750","90","Dán"
"R25","10k","TopLayer","TRO_0603","-37.6000","14.1750","180","Dán"
"C27","220pF","TopLayer","tu_0603","-31.5968","7.9500","180","Dán"
"C26","220pF","TopLayer","tu_0603","-35.2000","7.9500","0","Dán"
"C24","1uF","TopLayer","tu_0603","-32.3745","16.2250","180","Dán"
"C21","1uF","TopLayer","tu_0603","-27.3249","11.8000","270","Dán"
"C13","0.1uF","TopLayer","tu_0603","-12.9500","39.8746","90","Dán"
"Via4","Via_2.2mm","TopLayer","Via_2.2mm","-61.0000","54.2700","0",""
"Via3","Via_2.2mm","TopLayer","Via_2.2mm","-3.2700","54.2700","0",""
"Via2","Via_2.2mm","TopLayer","Via_2.2mm","-61.0000","3.0000","0",""
"U2","IP5306","BottomLayer","IP5306","-55.4140","10.9055","90","Fully-Integrated Power Bank System-On-Chip with 2.1A charger, 2.4A discharger"
"S3","nut nhan 4","TopLayer","Button_4P_SMD","-59.3000","28.8625","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"S2","nut nhan 4","TopLayer","Button_4P_SMD","-59.3000","43.0500","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"S1","nut nhan 4","TopLayer","Button_4P_SMD","-59.3000","14.6750","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"R36","10k","TopLayer","tro_smd_0805","-13.2294","17.9108","180","Dán"
"R34","1k","TopLayer","TRO_0603","-16.0000","20.5750","270","Dán"
"R35","10k","TopLayer","tro_smd_0805","-13.2295","5.7858","180","Dán"
"R30","22.1k","BottomLayer","TRO_0603","-49.1000","27.3250","270","Dán"
"R33","1k","TopLayer","TRO_0603","-16.0000","8.5750","270","Dán"
"R27","220R","BottomLayer","TRO_0603","-54.5750","35.3500","0","Dán"
"R26","100k","BottomLayer","TRO_0603","-52.2250","25.8504","270","Dán"
"R19","0R","TopLayer","TRO_0603","-21.7000","48.5750","90","Dán"
"R18","0R","TopLayer","TRO_0603","-20.2000","48.5750","90","Dán"
"R11","0.5R","BottomLayer","TRO_0603","-58.8750","16.5000","90","Dán"
"R17","100R","TopLayer","TRO_0603","-17.9750","54.3500","0","Dán"
"R16","100R","TopLayer","TRO_0603","-14.9000","52.9750","0","Dán"
"R10","10K","BottomLayer","TRO_0603","-59.0000","13.0250","90","Dán"
"R9","2R","BottomLayer","TRO_0603","-50.3500","6.6249","180","Dán"
"R15","10k","TopLayer","TRO_0603","-18.0500","32.6059","180","Dán"
"R14","10k","TopLayer","TRO_0603","-50.8000","52.7000","180","Dán"
"R13","10k","TopLayer","TRO_0603","-24.5250","51.8000","270","Dán"
"R12","10k","TopLayer","TRO_0603","-18.0754","30.7000","0","Dán"
"R24","10K","BottomLayer","TRO_0603","-27.4500","20.5746","90","Dán"
"R23","10K","BottomLayer","TRO_0603","-30.6500","20.5746","90","Dán"
"R22","10K","BottomLayer","TRO_0603","-32.9000","20.5746","90","Dán"
"R21","10K","BottomLayer","TRO_0603","-34.6000","20.5746","90","Dán"
"R20","10K","BottomLayer","TRO_0603","-25.8500","20.5746","90","Dán"
"R4","220R","TopLayer","TRO_0603","-27.9750","47.6250","270","Dán"
"R8","5.1k","TopLayer","TRO_0603","-9.8000","34.9999","0","Dán"
"R7","5.1k","TopLayer","TRO_0603","-10.1500","39.9000","270","Dán"
"R6","1.5k","TopLayer","TRO_0603","-11.5500","39.9000","270","Dán"
"R3","10k","TopLayer","TRO_0603","-55.0000","25.6250","270","Dán"
"R2","10k","TopLayer","TRO_0603","-55.0000","39.8250","270","Dán"
"R1","10k","TopLayer","TRO_0603","-55.0000","11.4250","270","Dán"
"Q3","AO3400","TopLayer","AO3400","-13.2250","9.0750","90","N-Channel 30 V 5.8A (Ta) 1.4W (Ta) SOT-23-3"
"Q2","C1815","TopLayer","SOT-23","-14.4750","31.6522","270","SOT-23"
"Q1","C1815","TopLayer","SOT-23","-21.6249","31.6479","90","SOT-23"
"MPS1","Pressure Sensor","TopLayer","MPS20N004D-S","-9.3770","49.3345","270","Designed By @Alixahedi"
"LED6","LED","BottomLayer","led_0603","-51.4000","34.0000","180","Dán, LED 0603"
"LED3","LED 0603","BottomLayer","led_0603","-54.6109","4.6970","90","Dán, LED 0603"
"LED2","LED 0603","BottomLayer","led_0603","-53.1507","4.7224","270","Dán, LED 0603"
"L1","LED 0603","TopLayer","led_0603","-26.5688","47.6250","270","Dán, LED 0603"
"J1","217179-0001","TopLayer","USB-TypeC","-4.6125","37.2000","90","USB2.0 TYPE-C 16P SMD"
"HX1","HX710B","TopLayer","HX710B","-16.5730","48.5200","270","HX710B, SOIC-8"
"Header3","OLED","BottomLayer","HEADER_4P_2.0_SMD","-58.7155","42.1770","270","Header PH-4P 2.0 SMD"
"Header2","VanKhi","TopLayer","Header_2P_2.0_SMD","-5.1270","21.2770","270","Header PH-2p 2.0 SMD"
"Header1","BomKhi","TopLayer","Header_2P_2.0_SMD","-5.1270","9.3020","270","Header PH-2p 2.0 SMD"
"D4","SS34","TopLayer","DIODE_SMA","-13.4500","25.2750","0","Dán"
"D3","SS34","TopLayer","DIODE_SMA","-13.4500","13.0750","0","Dán"
"C20","10uF","TopLayer","tu_0603","-37.6000","11.8250","0","Dán"
"C23","22uF","BottomLayer","tu_0603","-54.5750","34.0000","0","Dán"
