Altium Designer Pick and Place Locations
D:\NCKH - HAUI\NCKH 2025-2026\MainPCB\NCKH-2026\Project Outputs for NCKH-2026\Pick Place for MainPCB.csv

========================================================================================================================
File Design Information:

Date:       29/04/26
Time:       11:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R5","10K","TopLayer","TRO_0603","1444.882","1788.387","180","Dán"
"Q4","AO3400","TopLayer","AO3400","1999.014","828.740","90","N-Channel 30 V 5.8A (Ta) 1.4W (Ta) SOT-23-3"
"M1","Module SimA7680C","TopLayer","Module_SimA7680C","1248.031","605.315","0",""
"F1","CH340C","TopLayer","SOIC-16_50","1754.369","1487.205","270","SMD"
"*8","nguon","BottomLayer","Header_1.25mm_2P_smd","2362.205","378.936","270",""
"*5","nguon","BottomLayer","Header_1.25mm_2P_smd","2362.205","835.630","270",""
"*4","nguon","TopLayer","Header_1.25mm_2P_smd","1209.646","149.606","0",""
"F2","Cau chi 1206","TopLayer","Cau_chi_1206","557.165","314.461","90",""
"*6","nguon","TopLayer","Header_1.25mm_2P_smd","471.457","148.621","0",""
"D2","TESDU5V0_RGG","TopLayer","DIO_TESDU5V0_RGG","2128.936","1434.056","0","0603, 5V, 75W, 15pF, ESD Protection Diode & Array"
"D1","TESDU5V0_RGG","TopLayer","DIO_TESDU5V0_RGG","2179.134","1575.788","270","0603, 5V, 75W, 15pF, ESD Protection Diode & Array"
"S5","Nut nhan 2P SMD","TopLayer","Button_2P_SMD","376.476","2102.853","90","Push Button Tactile Switch SMD 2 Pins 3x4x2mm."
"S4","Nut nhan 2P SMD","TopLayer","Button_2P_SMD","1454.726","2105.313","90","Push Button Tactile Switch SMD 2 Pins 3x4x2mm."
"C19","22pF","BottomLayer","tu_0603","521.654","1016.731","90","Dán"
"R38","47K","TopLayer","TRO_0603","906.536","1236.772","180","Dán"
"R37","47K","TopLayer","TRO_0603","756.062","1299.762","0","Dán"
"MK1","ICS-43434","TopLayer","MIC_SMD","763.819","1200.865","270",""
"C29","1uF","TopLayer","tu_0603","905.535","1165.434","0","Dán"
"C28","100nF","TopLayer","tu_0603","905.535","1111.300","0","Dán"
"C30","0.1uF","TopLayer","TU_0805","777.795","312.842","0","Tu 0805"
"*7","220uF","TopLayer","Tu_tantalum_7443","641.488","658.575","270",""
"C15","22uF","BottomLayer","TU_0805","591.194","516.496","270","Tu 0805"
"C7","10uF","BottomLayer","TU_0805","508.708","362.441","90","Tu 0805"
"C16","22uF","BottomLayer","TU_0805","509.008","516.496","270","Tu 0805"
"C10","10uF","BottomLayer","TU_0805","101.142","618.944","180","Tu 0805"
"C14","22uF","BottomLayer","TU_0805","673.378","516.496","270","Tu 0805"
"C9","10uF","BottomLayer","TU_0805","101.142","699.654","180","Tu 0805"
"C8","10uF","BottomLayer","TU_0805","590.402","362.441","90","Tu 0805"
"*1","1uH","BottomLayer","Cuon_Cam_0630","410.473","751.024","180",""
"*3","2.2uH","BottomLayer","Cuon_Cam_0630","194.842","1063.031","270",""
"LED5","LED 0603","BottomLayer","led_0603","312.164","184.920","90","Dán, LED 0603"
"LED4","LED 0603","BottomLayer","led_0603","254.676","185.920","270","Dán, LED 0603"
"Micro1","Micro SDCard TF3","BottomLayer","Micro_SDCard_TF3","1244.275","436.252","0",""
"C12","10uF","TopLayer","tu_0603","2009.842","1404.529","90","Dán"
"Via1","Via_2.2mm","TopLayer","Via_2.2mm","2390.944","118.110","0",""
"U1","ESP32-S3-WROOM-1U-N8R8","TopLayer","ESP32-S3-WROOM-1U","992.126","1846.062","0","Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included, U.FL Surface Mount"
"VR1","10K","TopLayer","VR_-_SMD","1442.914","636.811","180","Var Resistor RM065"
"U3","PAM8302AADCR","TopLayer","PAM8302","1218.615","480.312","180","Amplifier IC 1-Channel (Mono) Class D 8-SOP"
"R32","100R","TopLayer","TRO_0603","1244.096","581.690","0","Dán"
"R31","0R","TopLayer","TRO_0603","1274.714","371.064","0","Dán"
"R29","0R","TopLayer","TRO_0603","1134.860","371.064","180","Dán"
"R28","100R","TopLayer","TRO_0603","1382.874","463.582","90","Dán"
"R25","10k","TopLayer","TRO_0603","1039.372","558.072","180","Dán"
"C27","220pF","TopLayer","tu_0603","1275.715","312.992","180","Dán"
"C26","220pF","TopLayer","tu_0603","1133.859","312.992","0","Dán"
"C24","1uF","TopLayer","tu_0603","1245.097","638.780","180","Dán"
"C21","1uF","TopLayer","tu_0603","1443.900","464.565","270","Dán"
"C13","0.1uF","TopLayer","tu_0603","2009.842","1569.866","90","Dán"
"Via4","Via_2.2mm","TopLayer","Via_2.2mm","118.110","2136.614","0",""
"Via3","Via_2.2mm","TopLayer","Via_2.2mm","2390.944","2136.614","0",""
"Via2","Via_2.2mm","TopLayer","Via_2.2mm","118.110","118.110","0",""
"U2","IP5306","BottomLayer","IP5306","338.030","429.350","90","Fully-Integrated Power Bank System-On-Chip with 2.1A charger, 2.4A discharger"
"S3","nut nhan 4","TopLayer","Button_4P_SMD","185.039","1136.318","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"S2","nut nhan 4","TopLayer","Button_4P_SMD","185.039","1694.880","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"S1","nut nhan 4","TopLayer","Button_4P_SMD","185.039","577.756","270","6 x 6 mm, 9.5 mm Actuator Height, 100 gf, Black, Surface Mount, SPST, Tactile Switch"
"R36","10k","TopLayer","tro_smd_0805","1998.842","705.148","180","Dán"
"R34","1k","TopLayer","TRO_0603","1889.762","810.040","270","Dán"
"R35","10k","TopLayer","tro_smd_0805","1998.840","227.786","180","Dán"
"R30","22.1k","BottomLayer","TRO_0603","586.616","1075.786","270","Dán"
"R33","1k","TopLayer","TRO_0603","1889.762","337.600","270","Dán"
"R27","220R","BottomLayer","TRO_0603","371.065","1391.732","0","Dán"
"R26","100k","BottomLayer","TRO_0603","463.584","1017.732","270","Dán"
"R19","0R","TopLayer","TRO_0603","1665.354","1912.402","90","Dán"
"R18","0R","TopLayer","TRO_0603","1724.410","1912.402","90","Dán"
"R11","0.5R","BottomLayer","TRO_0603","201.770","649.606","90","Dán"
"R17","100R","TopLayer","TRO_0603","1812.008","2139.762","0","Dán"
"R16","100R","TopLayer","TRO_0603","1933.070","2085.628","0","Dán"
"R10","10K","BottomLayer","TRO_0603","196.849","512.794","90","Dán"
"R9","2R","BottomLayer","TRO_0603","537.402","260.824","180","Dán"
"R15","10k","TopLayer","TRO_0603","1809.054","1283.698","180","Dán"
"R14","10k","TopLayer","TRO_0603","519.684","2074.804","180","Dán"
"R13","10k","TopLayer","TRO_0603","1554.134","2039.370","270","Dán"
"R12","10k","TopLayer","TRO_0603","1808.056","1208.662","0","Dán"
"R24","10K","BottomLayer","TRO_0603","1438.976","810.023","90","Dán"
"R23","10K","BottomLayer","TRO_0603","1312.994","810.023","90","Dán"
"R22","10K","BottomLayer","TRO_0603","1224.409","810.023","90","Dán"
"R21","10K","BottomLayer","TRO_0603","1157.480","810.023","90","Dán"
"R20","10K","BottomLayer","TRO_0603","1501.967","810.023","90","Dán"
"R4","220R","TopLayer","TRO_0603","1418.307","1875.000","270","Dán"
"R8","5.1k","TopLayer","TRO_0603","2133.860","1377.950","0","Dán"
