NEODEN,YY1,P&P FILE,,,,,,,,,,
,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,,,,
,,,,,,,,,,,,
Fiducial,1-X,55.08,1-Y,6.95,OverallOffsetX,0.14,OverallOffsetY,0.08,,,,
,,,,,,,,,,,,
NozzleChange,OFF,BeforeComponent,2,Head1,Drop,Station1,PickUp,Station3,,,,
NozzleChange,OFF,BeforeComponent,3,Head1,Drop,Station3,PickUp,Station1,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,,,,
,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C25,0.1uF,tu_0603,-29.05,20.6,270,0,1,100,0,0,1,0
R11,0.5R,TRO_0603,-58.88,16.5,90,0,1,100,0,0,1,0
R26,100k,TRO_0603,-52.23,25.85,270,0,1,100,0,0,1,0
R10,10K,TRO_0603,-59,13.03,90,0,1,100,0,0,1,0
Micro1,Micro SDCard TF3,Micro_SDCard_TF3,-32.4,11.08,0,0,53,100,0,0,1,0
