NEODEN,YY1,P&P FILE,,,,,,,,,,
,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,,,,
,,,,,,,,,,,,
Fiducial,1-X,55.08,1-Y,6.95,OverallOffsetX,0.14,OverallOffsetY,0.08,,,,
,,,,,,,,,,,,
NozzleChange,OFF,BeforeComponent,2,Head1,Drop,Station1,PickUp,Station3,,,,
NozzleChange,OFF,BeforeComponent,3,Head1,Drop,Station3,PickUp,Station1,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,,,,
,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C25,0.1uF,tu_0603,-29.05,20.60,270.00,0,1,100,0,0,1,0
R11,0.5R,TRO_0603,-58.88,16.50,90.00,0,2,100,0,0,1,0
R26,100k,TRO_0603,-52.23,25.85,270.00,0,3,100,0,0,1,0
R10,10K,TRO_0603,-59.00,13.03,90.00,0,4,100,0,0,1,0
R20,10K,TRO_0603,-25.85,20.57,90.00,0,4,100,0,0,1,0
R21,10K,TRO_0603,-34.60,20.57,90.00,0,4,100,0,0,1,0
R22,10K,TRO_0603,-32.90,20.57,90.00,0,4,100,0,0,1,0
R23,10K,TRO_0603,-30.65,20.57,90.00,0,4,100,0,0,1,0
R24,10K,TRO_0603,-27.45,20.57,90.00,0,4,100,0,0,1,0
C7,10uF,TU_0805,-51.08,9.21,90.00,0,5,100,0,0,1,0
C8,10uF,TU_0805,-49.00,9.21,90.00,0,5,100,0,0,1,0
C9,10uF,TU_0805,-61.43,17.77,180.00,0,5,100,0,0,1,0
C10,10uF,TU_0805,-61.43,15.72,180.00,0,5,100,0,0,1,0
R30,22.1k,TRO_0603,-49.10,27.32,270.00,0,6,100,0,0,1,0
R27,220R,TRO_0603,-54.58,35.35,0.00,0,7,100,0,0,1,0
C19,22pF,tu_0603,-50.75,25.82,90.00,0,8,100,0,0,1,0
C14,22uF,TU_0805,-46.90,13.12,270.00,0,9,100,0,0,1,0
C15,22uF,TU_0805,-48.98,13.12,270.00,0,9,100,0,0,1,0
C16,22uF,TU_0805,-51.07,13.12,270.00,0,9,100,0,0,1,0
C18,22uF,tu_0603,-51.40,32.65,180.00,0,9,100,0,0,1,0
C22,22uF,tu_0603,-54.58,32.65,0.00,0,9,100,0,0,1,0
C23,22uF,tu_0603,-54.58,34.00,0.00,0,9,100,0,0,1,0
R9,2R,TRO_0603,-50.35,6.62,180.00,0,10,100,0,0,1,0
U2,IP5306,IP5306,-55.41,10.91,90.00,0,11,100,0,0,1,0
LED6,LED,led_0603,-51.40,34.00,180.00,0,12,100,0,0,1,0
LED2,LED 0603,led_0603,-53.15,4.72,270.00,0,13,100,0,0,1,0
LED3,LED 0603,led_0603,-54.61,4.70,90.00,0,13,100,0,0,1,0
LED4,LED 0603,led_0603,-57.53,4.72,270.00,0,13,100,0,0,1,0
LED5,LED 0603,led_0603,-56.07,4.70,90.00,0,13,100,0,0,1,0
Micro1,Micro SDCard TF3,Micro_SDCard_TF3,-32.40,11.08,0.00,0,14,100,0,0,1,0
Header3,OLED,HEADER_4P_2.0_SMD,-58.72,42.18,270.00,0,15,100,0,0,1,0
