NEODEN,YY1,P&P FILE,,,,,,,,,,
,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,,,,
,,,,,,,,,,,,
Fiducial,1-X,55.08,1-Y,6.95,OverallOffsetX,0.14,OverallOffsetY,0.08,,,,
,,,,,,,,,,,,
NozzleChange,OFF,BeforeComponent,2,Head1,Drop,Station1,PickUp,Station3,,,,
NozzleChange,OFF,BeforeComponent,3,Head1,Drop,Station3,PickUp,Station1,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,,,,
,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C1,0.1uF,tu_0603,-51.55,54.98,270.00,0,1,100,0,0,1,0
C3,0.1uF,tu_0603,-9.80,33.62,0.00,0,1,100,0,0,1,0
C4,0.1uF,tu_0603,-55.00,18.20,270.00,0,1,100,0,0,1,0
C5,0.1uF,tu_0603,-55.00,46.30,270.00,0,1,100,0,0,1,0
C6,0.1uF,tu_0603,-55.00,32.70,90.00,0,1,100,0,0,1,0
C13,0.1uF,tu_0603,-12.95,39.87,90.00,0,1,100,0,0,1,0
C30,0.1uF,TU_0805,-44.24,7.95,0.00,0,1,100,0,0,1,0
R18,0R,TRO_0603,-20.20,48.58,90.00,0,2,100,0,0,1,0
R19,0R,TRO_0603,-21.70,48.58,90.00,0,2,100,0,0,1,0
R29,0R,TRO_0603,-35.17,9.43,180.00,0,2,100,0,0,1,0
R31,0R,TRO_0603,-31.62,9.43,0.00,0,2,100,0,0,1,0
R6,1.5k,TRO_0603,-11.55,39.90,270.00,0,3,100,0,0,1,0
C28,100nF,tu_0603,-41.00,28.23,0.00,0,4,100,0,0,1,0
R16,100R,TRO_0603,-14.90,52.98,0.00,0,5,100,0,0,1,0
R17,100R,TRO_0603,-17.98,54.35,0.00,0,5,100,0,0,1,0
R28,100R,TRO_0603,-28.88,11.78,90.00,0,5,100,0,0,1,0
R32,100R,TRO_0603,-32.40,14.77,0.00,0,5,100,0,0,1,0
R1,10k,TRO_0603,-55.00,11.43,270.00,0,6,100,0,0,1,0
R2,10k,TRO_0603,-55.00,39.83,270.00,0,6,100,0,0,1,0
R3,10k,TRO_0603,-55.00,25.62,270.00,0,6,100,0,0,1,0
R5,10K,TRO_0603,-27.30,45.42,180.00,0,7,100,0,0,1,0
R12,10k,TRO_0603,-18.08,30.70,0.00,0,6,100,0,0,1,0
R13,10k,TRO_0603,-24.52,51.80,270.00,0,6,100,0,0,1,0
R14,10k,TRO_0603,-50.80,52.70,180.00,0,6,100,0,0,1,0
R15,10k,TRO_0603,-18.05,32.61,180.00,0,6,100,0,0,1,0
R25,10k,TRO_0603,-37.60,14.18,180.00,0,6,100,0,0,1,0
R35,10k,tro_smd_0805,-13.23,5.79,180.00,0,6,100,0,0,1,0
R36,10k,tro_smd_0805,-13.23,17.91,180.00,0,6,100,0,0,1,0
VR1,10K,VR_-_SMD,-27.35,16.18,180.00,0,7,100,0,0,1,0
C2,10uF,tu_0603,-50.05,54.98,270.00,0,8,100,0,0,1,0
C11,10uF,tu_0603,-15.38,42.85,180.00,0,8,100,0,0,1,0
C12,10uF,tu_0603,-12.95,35.68,90.00,0,8,100,0,0,1,0
C17,10uF,tu_0603,-17.95,52.98,180.00,0,8,100,0,0,1,0
C20,10uF,tu_0603,-37.60,11.82,0.00,0,8,100,0,0,1,0
R33,1k,TRO_0603,-16.00,8.57,270.00,0,9,100,0,0,1,0
R34,1k,TRO_0603,-16.00,20.57,270.00,0,9,100,0,0,1,0
C21,1uF,tu_0603,-27.32,11.80,270.00,0,10,100,0,0,1,0
C24,1uF,tu_0603,-32.37,16.23,180.00,0,10,100,0,0,1,0
C29,1uF,tu_0603,-41.00,29.60,0.00,0,10,100,0,0,1,0
J1,217179-0001,USB-TypeC,-4.61,37.20,90.00,0,11,100,0,0,1,0
C26,220pF,tu_0603,-35.20,7.95,0.00,0,12,100,0,0,1,0
C27,220pF,tu_0603,-31.60,7.95,180.00,0,12,100,0,0,1,0
R4,220R,TRO_0603,-27.98,47.62,270.00,0,13,100,0,0,1,0
R37,47K,TRO_0603,-44.80,33.01,0.00,0,14,100,0,0,1,0
R38,47K,TRO_0603,-40.97,31.41,180.00,0,14,100,0,0,1,0
R7,5.1k,TRO_0603,-10.15,39.90,270.00,0,15,100,0,0,1,0
R8,5.1k,TRO_0603,-9.80,35.00,0.00,0,15,100,0,0,1,0
Q3,AO3400,AO3400,-13.22,9.07,90.00,0,16,100,0,0,1,0
Q4,AO3400,AO3400,-13.22,21.05,90.00,0,16,100,0,0,1,0
Header1,BomKhi,Header_2P_2.0_SMD,-5.13,9.30,270.00,0,17,100,0,0,1,0
Q1,C1815,SOT-23,-21.62,31.65,90.00,0,18,100,0,0,1,0
Q2,C1815,SOT-23,-14.47,31.65,270.00,0,18,100,0,0,1,0
