Altium Designer Pick and Place Locations
C:\Users\Admin\Desktop\CHIPXA_PROJECT\STM32\SMT32F103C8T6\Project Outputs for SMT32F103C8T6\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       31/08/26
Time:       01:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Y2","8MHz","TopLayer","thach_anh_49s_smd","36.0100","11.4720","90","Dán"
"Y1","MC-306_32.7680K-A0_ROHS","TopLayer","XTAL_MC-306_32.7680K-A0_ROHS","41.6000","11.4700","180",""
"U1","ME6217C33M5G","BottomLayer","VREG_ME6217C33M5G","16.3000","7.4400","0",""
"R7","10K - (0402-1%)","BottomLayer","0402_R","23.5100","11.6700","270","Dán"
"R6","10K - (0402-1%)","BottomLayer","0402_R","24.6860","11.6700","270","Dán"
"R5","10K - (0402-1%)","BottomLayer","0402_R","21.6567","6.9318","270","Dán"
"R4","1K - (0402-1%)","BottomLayer","0402_R","45.9100","8.2500","270","Dán"
"R3","1K - (0402-1%)","BottomLayer","0402_R","45.9400","14.4600","270","Dán"
"R2","5.1K - (0402-1%)","TopLayer","0402_R","10.2600","12.8500","180","Dán"
"R1","5.1K - (0402-1%)","TopLayer","0402_R","10.2600","9.8500","180","Dán"
"PC13","led do 0603","TopLayer","led_0603","45.9488","8.3900","90","Dán"
"PWR","led do 0603","TopLayer","led_0603","45.9488","14.5100","270","Dán"
"","JP 1x4 2.54","TopLayer","JP_1x4_DC","48.4800","11.4500","90","C?m"
"","JP 2x3 2.54","TopLayer","JP_2x3_DT","15.2500","13.3400","180","C?m"
"","JP 1x20 2.54","TopLayer","JP_1x20_DT","26.6600","3.1100","0","C?m"
"","JP 1x20 2.54","TopLayer","JP_1x20_DT","26.6600","19.7300","0","C?m"
"J1","TYPE-C-31-M-12","TopLayer","TYPE-C-2.0","5.2650","11.6000","270","Type C 2.0
https://www.snapeda.com/parts/TYPE-C-31-M-12/HRO%20Electronics%20Co.,%20Ltd./view-part/"
"IC1","STM32F103C8T6","TopLayer","LQFP48","26.7216","11.4720","225","Dán"
"C15","12pF (0402)","BottomLayer","0402_C","36.0100","8.7400","90","Dán"
"C14","12pF (0402)","BottomLayer","0402_C","36.0230","14.1540","270","Dán"
"C13","12pF (0402)","BottomLayer","0402_C","40.4418","10.6200","0","Dán"
"C12","12pF (0402)","BottomLayer","0402_C","42.7582","10.6200","180","Dán"
"C11","100nF (0402)","BottomLayer","0402_C","50.4600","14.5800","90","Dán"
"C10","100nF (0402)","BottomLayer","0402_C","22.8800","6.9318","270","Dán"
"C9","100nF (0402)","BottomLayer","0402_C","29.3900","11.6700","90","Dán"
"C8","100nF (0402)","BottomLayer","0402_C","28.2140","11.6700","90","Dán"
"C7","100nF (0402)","BottomLayer","0402_C","27.0380","11.6700","90","Dán"
"C6","100nF (0402)","BottomLayer","0402_C","25.8620","11.6700","90","Dán"
"C5","100nF (0402)","BottomLayer","0402_C","20.4333","6.9318","90","Dán"
"C4","1uF (0402)","BottomLayer","0402_C","19.2100","6.9318","90","Dán"
"C3","100nF (0402)","BottomLayer","0402_C","12.3150","6.9318","90","Dán"
"C2","100nF (0402)","BottomLayer","0402_C","13.5000","6.9318","90","Dán"
"C1","1uF (0402)","BottomLayer","0402_C","11.1300","6.9318","90","Dán"
"RESET","Nút Nh?n 2 Chân 3x6x2.5MM SMD","TopLayer","Nut_Nhan_2_Chan_SMD_N","15.0500","8.1500","0","Dán"
