NEODEN,YY1,P&P FILE,,,,,,,,,,
,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,,,,
,,,,,,,,,,,,
Fiducial,1-X,55.08,1-Y,6.95,OverallOffsetX,0.14,OverallOffsetY,0.08,,,,
,,,,,,,,,,,,
NozzleChange,OFF,BeforeComponent,2,Head1,Drop,Station1,PickUp,Station3,,,,
NozzleChange,OFF,BeforeComponent,3,Head1,Drop,Station3,PickUp,Station1,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,,,,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,,,,
,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C25,0.1uF,tu_0603,34.95,20.60,270.00,0,1,100,0,0,1,0
R11,0.5R,TRO_0603,5.12,16.50,90.00,0,2,100,0,0,1,0
R26,100k,TRO_0603,11.78,25.85,270.00,0,3,100,0,0,1,0
R10,10K,TRO_0603,5.00,13.03,90.00,0,4,100,0,0,1,0
R20,10K,TRO_0603,38.15,20.57,90.00,0,4,100,0,0,1,0
R21,10K,TRO_0603,29.40,20.57,90.00,0,4,100,0,0,1,0
R22,10K,TRO_0603,31.10,20.57,90.00,0,4,100,0,0,1,0
R23,10K,TRO_0603,33.35,20.57,90.00,0,4,100,0,0,1,0
R24,10K,TRO_0603,36.55,20.57,90.00,0,4,100,0,0,1,0
C7,10uF,TU_0805,12.92,9.21,90.00,0,5,100,0,0,1,0
C8,10uF,TU_0805,15.00,9.21,90.00,0,5,100,0,0,1,0
C9,10uF,TU_0805,2.57,17.77,180.00,0,5,100,0,0,1,0
C10,10uF,TU_0805,2.57,15.72,180.00,0,5,100,0,0,1,0
R30,22.1k,TRO_0603,14.90,27.32,270.00,0,6,100,0,0,1,0
R27,220R,TRO_0603,9.43,35.35,0.00,0,7,100,0,0,1,0
C19,22pF,tu_0603,13.25,25.82,90.00,0,8,100,0,0,1,0
C14,22uF,TU_0805,17.10,13.12,270.00,0,9,100,0,0,1,0
C15,22uF,TU_0805,15.02,13.12,270.00,0,9,100,0,0,1,0
C16,22uF,TU_0805,12.93,13.12,270.00,0,9,100,0,0,1,0
C18,22uF,tu_0603,12.60,32.65,180.00,0,9,100,0,0,1,0
C22,22uF,tu_0603,9.43,32.65,0.00,0,9,100,0,0,1,0
C23,22uF,tu_0603,9.43,34.00,0.00,0,9,100,0,0,1,0
R9,2R,TRO_0603,13.65,6.62,180.00,0,10,100,0,0,1,0
U2,IP5306,IP5306,8.59,10.91,90.00,0,11,100,0,0,1,0
LED6,LED,led_0603,12.60,34.00,180.00,0,12,100,0,0,1,0
LED2,LED 0603,led_0603,10.85,4.72,270.00,0,13,100,0,0,1,0
LED3,LED 0603,led_0603,9.39,4.70,90.00,0,13,100,0,0,1,0
LED4,LED 0603,led_0603,6.47,4.72,270.00,0,13,100,0,0,1,0
LED5,LED 0603,led_0603,7.93,4.70,90.00,0,13,100,0,0,1,0
Micro1,Micro SDCard TF3,Micro_SDCard_TF3,31.60,11.08,0.00,0,14,100,0,0,1,0
Header3,OLED,HEADER_4P_2.0_SMD,5.28,42.18,270.00,0,15,100,0,0,1,0
